"name","lat","long","nbBikes","nbEmptyDocks"
"7th & F St NW / National Portrait Gallery","38.897324","-77.022322","11","16"
"17th & K St NW / Farragut Square","38.902061","-77.038322","23","9"
"20th & O St NW / Dupont South","38.908905","-77.04478","11","6"
"4th & D St NW / Judiciary Square","38.895344","-77.016106","5","10"
"19th St & Constitution Ave NW","38.8923","-77.0436","25","9"
"37th & O St NW / Georgetown University","38.90774","-77.071652","14","8"
"11th & H St NE","38.899983","-76.991383","6","13"
"25th St & Pennsylvania Ave NW","38.903827","-77.053485","0","15"
"Columbus Circle / Union Station","38.89696","-77.00493","14","25"
"North Capitol St & F St NW","38.897446","-77.009888","21","0"
"11th & M St NW","38.905607","-77.027137","2","17"
"36th & Calvert St NW / Glover Park","38.922581","-77.070334","7","8"
"14th & G St NW","38.898069","-77.031823","9","13"
"Potomac Ave & 35th St S","38.844015","-77.050537","10","13"
"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials","38.88412","-77.04657","8","15"
"11th & F St NW","38.897857","-77.026975","2","13"
"23rd & E St NW ","38.896104","-77.049882","14","5"
"Lynn & 19th St North","38.897315","-77.070993","17","8"
"Rosslyn Metro / Wilson Blvd & Ft Myer Dr","38.8946","-77.072305","8","7"
"Clarendon Blvd & Pierce St","38.893648","-77.076701","5","6"
"Wilson Blvd & N Uhle St","38.891696","-77.0846","6","9"
"N Rhodes & 16th St N","38.892164","-77.079375","6","5"
"Fairfax Village","38.86559","-76.952103","9","6"
"21st St & Constitution Ave NW","38.892459","-77.046567","12","3"
"Wilson Blvd & N Edgewood St","38.889","-77.0925","6","9"
"Columbia Rd & Belmont St NW","38.920669","-77.04368","3","16"
"17th & Rhode Island Ave NW","38.906602","-77.038785","5","17"
"Thomas Circle","38.9059","-77.0325","9","23"
"Wilson Blvd & Franklin Rd","38.8904","-77.0889","6","5"
"Clarendon Blvd & N Fillmore St","38.8881","-77.09308","8","6"
"Clarendon Metro / Wilson Blvd & N Highland St","38.88786","-77.094875","7","10"
"18th St & Pennsylvania Ave NW","38.89968","-77.041539","23","3"
"Maryland & Independence Ave SW","38.887299","-77.018939","7","32"
"4th & E St SW","38.88412","-77.017445","8","11"
"3rd & G St SE","38.881185","-77.001828","6","13"
"7th & R St NW / Shaw Library","38.912719","-77.022155","2","13"
"9th & Upshur St NW","38.9418","-77.0251","5","10"
"1st & Rhode Island Ave NW","38.915417","-77.012289","2","12"
"Columbia Rd & Georgia Ave NW","38.928156","-77.02344","5","14"
"California St & Florida Ave NW","38.917761","-77.04062","0","19"
"Benning Rd & East Capitol St NE / Benning Rd Metro","38.889935","-76.93723","10","9"
"3000 Connecticut Ave NW / National Zoo","38.930282","-77.055599","9","5"
"Anacostia Ave & Benning Rd NE / River Terrace ","38.896544","-76.96012","7","8"
"M St & Pennsylvania Ave NW","38.905126","-77.056887","12","7"
"15th St & Massachusetts Ave SE","38.88732","-76.983569","6","9"
"Congress Heights Metro","38.844711","-76.987823","8","7"
"N Quincy St & Glebe Rd","38.876393","-77.107735","5","6"
"Wilson Blvd & N Oakland St","38.8815","-77.10396","5","5"
"N Veitch  & 20th St N","38.896923","-77.086502","5","10"
"11th & K St NW","38.90268","-77.02674","6","12"
"Fairfax Dr & Wilson Blvd","38.885801","-77.097745","6","5"
"Key Blvd & N Quinn St","38.896015","-77.078107","9","2"
"1st & K St SE","38.87861","-77.006004","1","13"
"39th & Calvert St NW / Stoddert","38.922649","-77.077271","9","9"
"1st & Washington Hospital Center NW","38.928743","-77.012457","7","8"
