Category,2010,2011,2012,2013,2014
Total Population,2.0089,2.0295,2.0516,2.0745,2.0975
Gross Domestic Product,2242.2982,2560.9898,2494.6002,2267.9575,1929.2804
Average Interest Rate on Loans,11.2225,10.42916667,10.11916667,9.92,10.33944444
Inflation Rate,3.6,4.98,6.1,5.03,4.94
Average Interest Rate on Deposits,3.683333333,2.695,2.85,2.85,2.725
