Title,Date,Catalog_No,Instrument1,Instrument2,Instrument3,Genre,Key
"Lied Op 48 v ""Gottes Macht und Vorsehung""",1802,Op48no5,Soprano,Piano,NA,SongSecular,C major
"Lied Op 48 vi ""Busslied""",1802,Op48no6,Soprano,Piano,NA,SongSecular,A minor
"Lied Op 52 i ""Urians Reise um die Welt""",1804,Op52no,Soprano,Piano,NA,SongSecular,A minor
"Lied Op 52 ii ""Feuerfab""",1804,Op52no,Soprano,Piano,NA,SongSecular,G major
"Lied Op 52 iii ""Das Liedchen von der Ruhe""",1804,Op52no,Soprano,Piano,NA,SongSecular,F major
"Lied Op 52 iv ""Maigesang""",1804,Op52no,Soprano,Piano,NA,SongSecular,Eb major
"Lied Op 52 v ""Mollys Abschied""",1804,Op52no,Soprano,Piano,NA,SongSecular,G major
"Lied Op 52 vi ""Die Liebe""",1804,Op52no,Soprano,Piano,NA,SongSecular,F major
"Lied Op 52 vii ""Marmotte""",1804,Op52no,Soprano,Piano,NA,SongSecular,A minor
"Lied Op 52 viii ""Das Blumchen Wunderhold""",1804,Op52no,Soprano,Piano,NA,SongSecular,G major
"Lied WoO123 ""Ich Liebe dich""",1790,WoO123,Piano,Soprano,NA,SongSecular,G major
Mandolin Sonata WoO 44a,1796,WoO44a,Mandolin,Piano,NA,AccompaniedSonata,C major
March for Winds WoO 29,NA,WoO29,Windensemble,NA,NA,MiscWindEnsemble,Bb major
Mass in C Op 86 i Kyrie,1807,Op86,Satb,Orchestra,NA,Mass,C major
Mass in C Op 86 ii Gloria,1807,Op86,Satb,Orchestra,NA,Mass,C major
Mass in C Op 86 iii Credo,1807,Op86,Satb,Orchestra,NA,Mass,C major
Mass in C Op 86 iv Sanctus,1807,Op86,Satb,Orchestra,NA,Mass,A major
Mass in C Op 86 v Agnus Dei,1807,Op86,Satb,Orchestra,NA,Mass,C minor
Missa Solemnis Op 123 i Kyrie,1823,Op123,Satb,Orchestra,NA,Mass,D major
Missa Solemnis Op 123 ii Gloria,1823,Op123,Satb,Orchestra,NA,Mass,D major
Missa Solemnis Op 123 iii Credo,1823,Op123,Satb,Orchestra,NA,Mass,Bb major
Missa Solemnis Op 123 iv Sanctus,1823,Op123,Satb,Orchestra,NA,Mass,D major
Missa Solemnis Op 123 v Agnus Dei,1823,Op123,Satb,Orchestra,NA,Mass,B minor
Piano Concerto #1 Op. 15 i,1796,Op15,Piano,Orchestra,NA,Concerto,C major
